School_Name,School_year,Reported,K_12_enrollment,Percent_complete_for_all_immunizations,Percent_with_any_exemption,Percent_with_medical_exemption,Percent_with_personal_exemption,Percent_with_religious_exemption,Percent_with_religious_membership_exemption,Percent_exempt_for_diphtheria_tetanus,Percent_exempt_for_pertussis,Percent_exempt_for_measles_mumps_rubella,Percent_exempt_for_polio,Percent_exempt_for_HepatitisB,Percent_exempt_for_varicella,Number_complete_for_all_immunizations,Number_with_any_exemption,Number_with_medical_exemption,Number_with_personal_exemption,Number_with_religious_exemption,Number_with_religious_membership_exemption,Number_exempt_for_diphtheria_tetanus,Number_exempt_for_pertussis,Number_exempt_for_measles_mumps_rubella,Number_exempt_for_polio,Number_exempt_for_HepatitisB,Number_exempt_for_varicella,School_District,County,ESD,Grade_Levels,Has_kindergarten,Has_6thGrade,Location 1
ST. ROSE SCHOOL,2016-17,Y,114,98.2,1.8,1.8,0,0,0,0,0,1.8,0.9,0,0,112,2,2,0,0,0,0,0,2,1,0,0,LONGVIEW SCHOOL DISTRICT,COWLITZ,EDUCATIONAL SERVICE DISTRICT 112,P-8,Y,Y,"720 26TH AVE
LONGVIEW
(46.1326, -122.953557)"
ST. MICHAEL'S ACADEMY,2016-17,Y,129,48.1,51.9,0,50.4,1.6,0,51.9,51.9,51.9,51.9,51.9,55.8,62,67,0,65,2,0,67,67,67,67,67,72,ORCHARD PRAIRIE SCHOOL DISTRICT,SPOKANE,EDUCATIONAL SERVICE DISTRICT 101,P-12,Y,Y,"8500 N ST MICHAEL'S RD
SPOKANE
(47.735621, -117.341021)"
TOTEM MIDDLE SCHOOL,2016-17,Y,573,92.3,5.6,0.7,4.2,0.3,0.3,4.2,3.7,3.3,3.5,2.8,4,529,32,4,24,2,2,24,21,19,20,16,23,MARYSVILLE SCHOOL DISTRICT,SNOHOMISH,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,8-Jun,N,Y,"1605 7TH ST
MARYSVILLE
(48.054498, -122.176326)"
SOUTH SOUND CHRISTIAN SCHOOLS-TACOMA BAPTIST CAMPUS,2016-17,Y,271,90.8,9.2,0,9.2,0,0,8.5,8.5,6.3,5.9,7.4,11.4,246,25,0,25,0,0,23,23,17,16,20,31,TACOMA SCHOOL DISTRICT,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,P-12,Y,Y,"2052 S 64TH ST
TACOMA
(47.199256, -122.466691)"
STANWOOD HIGH SCHOOL,2016-17,Y,1388,85.3,6.6,0.8,5.8,0.1,0,4,3.4,3.5,3,3.8,3.7,1184,92,11,81,2,0,56,47,49,41,53,52,STANWOOD-CAMANO SCHOOL DISTRICT,SNOHOMISH,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,12-Sep,N,N,"7400 272ND ST NW
STANWOOD
(48.243068, -122.334415)"
WELLPINIT ALLIANCE HIGH SCHOOL,2016-17,Y,16,87.5,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,WELLPINIT SCHOOL DISTRICT,STEVENS,EDUCATIONAL SERVICE DISTRICT 101,12-Aug,N,N,"6231 OLD SCHOOL RD
WELLPINIT
(47.889695, -117.987864)"
SNOHOMISH HIGH SCHOOL,2016-17,Y,1665,84,11,2.7,8.6,0.2,0,5.3,4.3,5.4,4.6,5.1,7.7,1398,183,45,143,3,0,88,71,90,76,85,128,SNOHOMISH SCHOOL DISTRICT,SNOHOMISH,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,12-Sep,N,N,"1316 FIFTH STREET
SNOHOMISH
(47.917595, -122.09783)"
UNION HIGH SCHOOL,2016-17,Y,2035,34.3,4.5,0.2,3.7,0.6,0,3,3,3.5,2.8,2.6,3.1,697,92,4,76,12,0,62,61,72,57,53,63,EVERGREEN SCHOOL DISTRICT (CLARK),CLARK,EDUCATIONAL SERVICE DISTRICT 112,12-Sep,N,N,"6201 NW FRIBERG-STRUNK ST
CAMAS
(45.628221, -122.465669)"
ST. JOSEPH SCHOOL,2016-17,Y,122,86.1,3.3,0,3.3,0,0,0.8,0.8,0.8,0.8,3.3,0.8,105,4,0,4,0,0,1,1,1,1,4,1,CHEHALIS SCHOOL DISTRICT,LEWIS,EDUCATIONAL SERVICE DISTRICT 113,P-8,Y,Y,"123 6TH ST
CHEHALIS
(46.656518, -122.9611)"
WALTER STROM MIDDLE SCHOOL,2016-17,Y,183,92.3,7.7,1.1,6.6,0,0,6,3.8,3.8,6,4.9,3.8,169,14,2,12,0,0,11,7,7,11,9,7,CLE ELUM-ROSLYN SCHOOL DISTRICT,KITTITAS,EDUCATIONAL SERVICE DISTRICT 105,8-Jun,N,Y,"2694 SR 903
CLE ELUM
(47.210796, -120.984037)"
WARDEN HUTTERIAN SCHOOL,2016-17,N,,,,,,,,,,,,,,,,,,,,,,,,,,LIND SCHOOL DISTRICT,ADAMS,EDUCATIONAL SERVICE DISTRICT 101,K-12,Y,Y,"1054 W HARDER RD
WARDEN
(47.057158, -118.949728)"
WOODLAND MIDDLE SCHOOL,2016-17,Y,700,90.9,8,0.3,6,1.4,0.3,6.1,5.9,5,4.7,4.3,5.6,636,56,2,42,10,2,43,41,35,33,30,39,WOODLAND SCHOOL DISTRICT,COWLITZ,EDUCATIONAL SERVICE DISTRICT 112,8-Jul,N,N,"755 PARK STREET
WOODLAND
(45.903553, -122.748024)"
TOLT MIDDLE SCHOOL,2016-17,Y,734,88.1,7.6,0.5,6.9,0.3,0,4.1,3.4,4.1,4.6,4.5,6.3,647,56,4,51,2,0,30,25,30,34,33,46,RIVERVIEW SCHOOL DISTRICT,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,8-Jun,N,Y,"3740 TOLT AVE
CARNATION
(47.642825, -121.915265)"
WESTON HIGH SCHOOL,2016-17,Y,115,64.3,8.7,0,8.7,0,0,5.2,4.3,7,5.2,5.2,7.8,74,10,0,10,0,0,6,5,8,6,6,9,ARLINGTON SCHOOL DISTRICT,SNOHOMISH,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,12-Sep,N,N,"4407 172ND STREET NE
ARLINGTON
(48.152198, -122.166949)"
ST. BERNADETTE SCHOOL,2016-17,Y,197,99.5,0.5,0,0,0.5,0,0.5,0.5,0.5,0.5,0.5,0.5,196,1,0,0,1,0,1,1,1,1,1,1,HIGHLINE SCHOOL DISTRICT,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,P-8,Y,Y,"1028 SW 128TH ST
SEATTLE
(47.488468, -122.348595)"
ST. MONICA SCHOOL,2016-17,Y,156,96.2,3.8,0,3.8,0,0,2.6,2.6,2.6,2.6,2.6,3.8,150,6,0,6,0,0,4,4,4,4,4,6,MERCER ISLAND SCHOOL DISTRICT,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,P-8,Y,Y,"4320 87TH AVE SE
MERCER ISLAND
(47.568756, -122.222879)"
SOUTH BAY ELEMENTARY,2016-17,Y,687,93,5.7,1.6,3.5,0.6,0,4.2,4.2,4.1,4.8,3.8,4.9,639,39,11,24,4,0,29,29,28,33,26,34,NORTH THURSTON PUBLIC SCHOOLS,THURSTON,EDUCATIONAL SERVICE DISTRICT 113,K -6,Y,Y,"3845 SLEATER KINNEY RD NE
LACEY
(47.087017, -122.83372)"
SUMNER MIDDLE SCHOOL,2016-17,Y,760,90,5.7,0.9,4.6,0.4,0,2.6,2.1,2.9,3.3,2.4,4.3,684,43,7,35,3,0,20,16,22,25,18,33,SUMNER SCHOOL DISTRICT,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,8-Jun,N,Y,"1508 WILLOW
SUMNER
(47.195371, -122.234858)"
SHOWALTER MIDDLE SCHOOL,2016-17,Y,683,94.4,2.2,1,0.9,0.3,0,1,0.9,0.9,0.6,1.3,1.2,645,15,7,6,2,0,7,6,6,4,9,8,TUKWILA SCHOOL DISTRICT,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,8-Jun,N,Y,"4628 S 144TH ST
TUKWILA
(47.474089, -122.274245)"
SKYVIEW HIGH SCHOOL,2016-17,Y,1961,88.9,5.6,0.6,4.3,0.8,0.1,3.5,3,3.6,3.1,3.3,3.6,1744,109,12,85,15,2,68,58,71,61,64,71,VANCOUVER SCHOOL DISTRICT,CLARK,EDUCATIONAL SERVICE DISTRICT 112,12-Sep,N,N,"1300 NW 139TH ST
VANCOUVER
(45.721778, -122.68407)"
WEST VALLEY MIDDLE SCHOOL,2016-17,Y,836,97.4,2.6,0.7,1.9,0,0,1.2,1.1,1.6,1.2,1.3,2.3,814,22,6,16,0,0,10,9,13,10,11,19,WEST VALLEY SCHOOL DISTRICT (YAKIMA),YAKIMA,EDUCATIONAL SERVICE DISTRICT 105,6-May,N,Y,"1500 S 75TH AVE
YAKIMA
(46.578479, -120.607644)"
WOODMONT ELEMENTARY SCHOOL,2016-17,Y,495,91.9,1.8,0.4,1.4,0,0,1.6,1.6,1.4,1.2,1.2,1.2,455,9,2,7,0,0,8,8,7,6,6,6,FEDERAL WAY SCHOOL DISTRICT,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K -8,Y,Y,"26454 16TH AV S
DES MOINES
(47.363349, -122.313242)"
THREE POINTS ELEMENTARY,2016-17,Y,259,98.8,1.2,0,1.2,0,0,0.4,0,0.4,0.4,0.8,0.8,256,3,0,3,0,0,1,0,1,1,2,2,BELLEVUE SCHOOL DISTRICT,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,P-6,Y,Y,"7800 NE 28TH ST
MEDINA
(47.635605, -122.235896)"
UPPER COLUMBIA ACADEMY,2016-17,Y,219,52.5,4.1,0.9,3.2,0,0,4.1,4.1,4.1,4.1,3.7,3.7,115,9,2,7,0,0,9,9,9,9,8,8,LIBERTY SCHOOL DISTRICT,SPOKANE,EDUCATIONAL SERVICE DISTRICT 101,12-Sep,N,N,"3025 E SPANGLE WAVERLY RD
SPANGLE
(47.41242, -117.367294)"
ST. JOHN OF KRONSTADT ORTHODOX CHRISTIAN SCHOOL,2016-17,Y,29,58.6,41.4,0,41.4,0,0,6.9,6.9,41.4,6.9,20.7,41.4,17,12,0,12,0,0,2,2,12,2,6,12,YAKIMA SCHOOL DISTRICT,YAKIMA,EDUCATIONAL SERVICE DISTRICT 105,K-8,Y,Y,"706 STEWART ST
YAKIMA
(46.587057, -120.515888)"
SLAVIC CHRISTIAN ACADEMY--EDGEWOOD,2016-17,Y,178,34.8,55.1,0,55.1,0,0,50.6,50.6,51.1,48.3,43.3,50.6,62,98,0,98,0,0,90,90,91,86,77,90,PUYALLUP SCHOOL DISTRICT,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,P-12,Y,Y,"10622 8TH ST E
EDGEWOOD
(47.250044, -122.287552)"
UNIVERSITY PLACE SPECIAL EDUC,2016-17,Y,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,UNIVERSITY PLACE SCHOOL DISTRICT,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K -12,Y,Y,"3717 GRANDVIEW DRIVE W
UNIVERSITY PLACE
(47.224487, -122.553343)"
WEST VALLEY HIGH SCHOOL,2016-17,Y,909,83.3,6.5,1.4,4.7,0.6,0,4.2,3.9,2.5,2.9,2.1,4.1,757,59,13,43,5,0,38,35,23,26,19,37,WEST VALLEY SCHOOL DISTRICT (SPOKANE),SPOKANE,EDUCATIONAL SERVICE DISTRICT 101,12-Sep,N,N,"8301 E BUCKEYE
SPOKANE
(47.68229, -117.29206)"
WILLARD ELEMENTARY,2016-17,Y,571,92.3,7.5,2.3,3.9,0.9,0.5,5.6,5.6,4.9,4.9,5.4,5.3,527,43,13,22,5,3,32,32,28,28,31,30,SPOKANE SCHOOL DISTRICT,SPOKANE,EDUCATIONAL SERVICE DISTRICT 101,PK-6,Y,Y,"500 W LONGFELLOW AVE
SPOKANE
(47.697436, -117.419295)"
WOODIN ELEMENTARY,2016-17,Y,621,81.3,5.2,0.8,4.5,0,0,3.7,3.7,3.9,4,4,4.2,505,32,5,28,0,0,23,23,24,25,25,26,NORTHSHORE SCHOOL DISTRICT,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,PK-6,Y,Y,"12950 NE 195 ST
BOTHELL
(47.768898, -122.167319)"
TLC MONTESSORI,2016-17,Y,9,100,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,LAKE WASHINGTON SCHOOL DISTRICT,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,P-3,Y,N,"21512 NE 16TH ST
SAMMAMISH
(47.623782, -122.052777)"
SHORECREST HIGH SCHOOL,2016-17,Y,1412,88.2,7.3,1.3,6,0.1,0,3.2,2.5,3.7,3.1,4.6,3.5,1245,103,18,85,2,0,45,35,52,44,65,49,SHORELINE SCHOOL DISTRICT,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,12-Sep,N,N,"15343 25TH AVENUE N.E.
SHORELINE
(47.741227, -122.302068)"
SEQUOYAH MIDDLE SCHOOL,2016-17,Y,597,80.2,5.9,1.8,3.4,0.2,0.5,1,1,1.2,1,0.8,1.7,479,35,11,20,1,3,6,6,7,6,5,10,FEDERAL WAY SCHOOL DISTRICT,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,8-Jun,N,Y,"3425 S 360TH ST
AUBURN
(47.278895, -122.288405)"
THE LAKE AND PARK SCHOOL,2016-17,N,,,,,,,,,,,,,,,,,,,,,,,,,,SEATTLE PUBLIC SCHOOLS,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,P-8,Y,Y,"3201 HUNTER BLVD S
SEATTLE
(47.575008, -122.285091)"
WILKESON ELEMENTARY SCHOOL,2016-17,Y,266,88.7,6.8,3,3.8,0.4,0,4.1,3.8,3.4,3.4,3.8,4.5,236,18,8,10,1,0,11,10,9,9,10,12,WHITE RIVER SCHOOL DISTRICT,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K -5,Y,N,"640 RAILROAD AVE
BUCKLEY
(47.10228, -122.04207)"
WOODLANDS ELEMENTARY,2016-17,Y,375,97.6,1.9,1.1,0.8,0,0,1.1,1.1,0.8,1.3,1.1,1.3,366,7,4,3,0,0,4,4,3,5,4,5,CENTRAL KITSAP SCHOOL DISTRICT,KITSAP,OLYMPIC EDUCATIONAL SERVICE DISTRICT 114,K -6,Y,Y,"7420 CENTRAL VALLEY RD NE
BREMERTON
(47.62964, -122.650187)"
WHATCOM HILLS WALDORF,2016-17,N,,,,,,,,,,,,,,,,,,,,,,,,,,BELLINGHAM SCHOOL DISTRICT,WHATCOM,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,P-8,Y,Y,"941 AUSTIN ST
BELLINGHAM
(48.742124, -122.398888)"
STEM,2016-17,Y,580,88.3,5,1,3.8,0.2,0,1.4,1,1.2,1.6,3.1,2.2,512,29,6,22,1,0,8,6,7,9,18,13,LAKE WASHINGTON SCHOOL DISTRICT,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,12-Sep,N,N,"400 228TH AVENUE NE
SAMMAMISH
(47.613699, -122.035381)"
SUNNYSIDE ELEMENTARY,2016-17,Y,526,94.3,4.4,1.7,1.7,1,0,3.4,3.4,3.6,3.4,2.9,4,496,23,9,9,5,0,18,18,19,18,15,21,MARYSVILLE SCHOOL DISTRICT,SNOHOMISH,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,K -5,Y,N,"3707 SUNNYSIDE BLVD
MARYSVILLE
(48.030068, -122.14659)"
TACOMA WALDORF SCHOOL,2016-17,N,,,,,,,,,,,,,,,,,,,,,,,,,,TACOMA SCHOOL DISTRICT,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,P-5,Y,N,"3315 S 19TH ST
TACOMA
(47.242764, -122.480266)"
SLAVIC CHRISTIAN ACADEMY--SPOKANE,2016-17,Y,136,33.8,66.2,0.7,65.4,0,0,59.6,59.6,60.3,56.6,50,54.4,46,90,1,89,0,0,81,81,82,77,68,74,MEAD SCHOOL DISTRICT,SPOKANE,EDUCATIONAL SERVICE DISTRICT 101,P-12,Y,Y,"8913 N NETTLETON LN
SPOKANE
(47.737975, -117.448423)"
ST. JOSEPH SCHOOL,2016-17,Y,593,97,2.5,0.2,2.4,0,0,1.3,1.3,1.2,1.2,1.7,1.5,575,15,1,14,0,0,8,8,7,7,10,9,SEATTLE PUBLIC SCHOOLS,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K-8,Y,Y,"700 18TH AVE E
SEATTLE
(47.625245, -122.308665)"
SULTAN SENIOR HIGH SCHOOL,2016-17,Y,581,69.5,6.5,0.5,2.9,2.9,0.2,5.7,5.7,5,5,4.6,6.2,404,38,3,17,17,1,33,33,29,29,27,36,SULTAN SCHOOL DISTRICT,SNOHOMISH,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,12-Sep,N,N,"13715 310TH AVE S.E.
SULTAN
(47.873233, -121.814223)"
ST. LOUISE SCHOOL,2016-17,Y,385,95.8,4.2,0.5,3.6,0,0,2.3,2.3,2.6,2.9,2.6,4.2,369,16,2,14,0,0,9,9,10,11,10,16,BELLEVUE SCHOOL DISTRICT,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,P-8,Y,Y,"133 156TH AVE SE
BELLEVUE
(47.608906, -122.132222)"
VINLAND ELEMENTARY,2016-17,Y,611,93.9,5.2,1.8,3.8,0,0,3.3,3.1,3.4,4.3,3.6,5.2,574,32,11,23,0,0,20,19,21,26,22,32,NORTH KITSAP SCHOOL DISTRICT,KITSAP,OLYMPIC EDUCATIONAL SERVICE DISTRICT 114,K -5,Y,N,"22104 RHODODENDRON LN NW
POULSBO
(47.763815, -122.675817)"
SHOULTES ELEMENTARY,2016-17,Y,467,89.5,3.4,0.4,2.6,0.4,0,2.6,2.6,2.8,2.4,2.1,3,418,16,2,12,2,0,12,12,13,11,10,14,MARYSVILLE SCHOOL DISTRICT,SNOHOMISH,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,K -5,Y,N,"13525 51ST AVE NE
MARYSVILLE
(48.11868, -122.162478)"
WALLA WALLA VALLEY ACADEMY,2016-17,Y,168,95.8,4.2,0,4.2,0,0,4.2,4.2,3.6,3.6,3.6,4.2,161,7,0,7,0,0,7,7,6,6,6,7,COLLEGE PLACE SCHOOL DISTRICT,WALLA WALLA,EDUCATIONAL SERVICE DISTRICT 123,12-Sep,N,N,"300 SW ACADEMY WAY
COLLEGE PLACE
(46.047086, -118.399039)"
STEVENS ELEMENTARY SCHOOL,2016-17,Y,491,92.9,1.6,0,1.6,0,0,1,1,1.6,1.4,1,1.6,456,8,0,8,0,0,5,5,8,7,5,8,ABERDEEN SCHOOL DISTRICT,GRAYS HARBOR,EDUCATIONAL SERVICE DISTRICT 113,PK-6,Y,Y,"301 S. FARRAGUT
ABERDEEN
(46.966744, -123.789052)"
ST. BENEDICT SCHOOL,2016-17,Y,185,96.2,3.8,1.1,2.7,0,0,1.1,1.1,3.2,3.8,3.2,3.2,178,7,2,5,0,0,2,2,6,7,6,6,SEATTLE PUBLIC SCHOOLS,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,P-8,Y,Y,"4811 WALLINGFORD AVE N
SEATTLE
(47.663928, -122.336421)"
SKYLINE ELEMENTARY SCHOOL,2016-17,Y,370,93.5,5.7,2.2,3.5,0,0,3.5,3.2,4.6,3.5,3.5,4.3,346,21,8,13,0,0,13,12,17,13,13,16,TACOMA SCHOOL DISTRICT,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,PK-5,Y,N,"2301 N MILDRED ST
TACOMA
(47.269581, -122.526619)"
STEVENS MIDDLE SCHOOL,2016-17,Y,686,98.3,0.6,0,0.4,0.1,0.1,0.4,0.4,0.4,0.4,0.4,0.6,674,4,0,3,1,1,3,3,3,3,3,4,PASCO SCHOOL DISTRICT,FRANKLIN,EDUCATIONAL SERVICE DISTRICT 123,8-Jun,N,Y,"1120 N 22ND AVENUE
PASCO
(46.239036, -119.120009)"
TRI-CITIES PREP,2016-17,Y,166,95.8,4.2,0.6,3.6,0,0,0.6,3.6,3.6,3.6,3.6,3.6,159,7,1,6,0,0,1,6,6,6,6,6,PASCO SCHOOL DISTRICT,FRANKLIN,EDUCATIONAL SERVICE DISTRICT 123,12-Sep,N,N,"9612 ST THOMAS DR
PASCO
(46.273525, -119.217284)"
WOODRIDGE ELEMENTARY,2016-17,Y,455,92.7,7,2.4,4.4,0,0.2,3.3,3.3,3.7,3.3,3.1,5.7,422,32,11,20,0,1,15,15,17,15,14,26,SPOKANE SCHOOL DISTRICT,SPOKANE,EDUCATIONAL SERVICE DISTRICT 101,PK-6,Y,Y,"5100 W SHAWNEE AVE
SPOKANE
(47.745242, -117.483656)"
WEST VIEW ELEMENTARY,2016-17,Y,383,87.2,1,0.5,0.5,0,0,0,0,0,0.5,0.5,0.3,334,4,2,2,0,0,0,0,0,2,2,1,BURLINGTON-EDISON SCHOOL DISTRICT,SKAGIT,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,K -6,Y,Y,"515 W VICTORIA AVE
BURLINGTON
(48.476665, -122.341517)"
WEST MERCER ELEMENTARY,2016-17,Y,514,91.8,4.3,1.9,1.8,0.4,0.4,2.5,2.7,2.5,2.9,2.7,3.3,472,22,10,9,2,2,13,14,13,15,14,17,MERCER ISLAND SCHOOL DISTRICT,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K -5,Y,N,"4141 81ST AVE SE
MERCER ISLAND
(47.571916, -122.230137)"
WILSON HIGH SCHOOL,2016-17,Y,1302,95.2,3.7,1.1,2.5,0.2,0.1,2,2.5,2,2.1,2.5,2.6,1240,48,14,33,2,1,26,32,26,27,32,34,TACOMA SCHOOL DISTRICT,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,12-Sep,N,N,"1202 N ORCHARD ST
TACOMA
(47.260839, -122.505219)"
ST. MICHAEL CATHOLIC SCHOOL,2016-17,Y,92,95.7,4.3,1.1,1.1,2.2,0,2.2,4.3,4.3,4.3,4.3,4.3,88,4,1,1,2,0,2,4,4,4,4,4,SNOHOMISH SCHOOL DISTRICT,SNOHOMISH,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,P-8,Y,Y,"1514 PINE AVE
SNOHOMISH
(47.930238, -122.085044)"
SPRING VALLEY MONTESSORI,2016-17,N,,,,,,,,,,,,,,,,,,,,,,,,,,FEDERAL WAY SCHOOL DISTRICT,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,P-8,Y,Y,"36605 PACIFIC HWY S
FEDERAL WAY
(47.272344, -122.329469)"
SKYKOMISH ELEMENTARY AND MIDDLE SCHOOL,2016-17,Y,39,71.8,17.9,0,12.8,5.1,0,17.9,17.9,15.4,15.4,15.4,15.4,28,7,0,5,2,0,7,7,6,6,6,6,SKYKOMISH SCHOOL DISTRICT,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,PK-8,Y,Y,"105 6TH ST N
SKYKOMISH
(47.709393, -121.361983)"
VALLEY SCHOOL,2016-17,Y,101,97,3,0,3,0,0,1,1,1,3,3,2,98,3,0,3,0,0,1,1,1,3,3,2,SEATTLE PUBLIC SCHOOLS,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,P-5,Y,N,"309 31ST AVE E
SEATTLE
(47.621689, -122.292025)"
SKYLINE HIGH SCHOOL,2016-17,Y,2204,97.2,2.3,0.5,1.7,0.1,0,1.3,1.3,1,1,1.3,1.4,2142,50,11,38,2,1,29,29,23,21,28,30,ISSAQUAH SCHOOL DISTRICT,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,12-Sep,N,N,"1122 228TH AVE SE
SAMMAMISH
(47.600235, -122.035429)"
THE CLEARWATER SCHOOL,2016-17,Y,42,54.8,45.2,0,45.2,0,0,33.3,33.3,45.2,45.2,45.2,40.5,23,19,0,19,0,0,14,14,19,19,19,17,NORTHSHORE SCHOOL DISTRICT,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,P-12,Y,Y,"1510 196TH ST SE
BOTHELL
(47.820316, -122.211657)"
SONSHINE CHRISTIAN ELEMENTARY,2016-17,N,,,,,,,,,,,,,,,,,,,,,,,,,,VANCOUVER SCHOOL DISTRICT,CLARK,EDUCATIONAL SERVICE DISTRICT 112,K-2,Y,N,"11208 NE HAZEL DELL AVENUE
VANCOUVER
(45.703184, -122.668038)"
WASHINGTON-HOYT ELEMENTARY,2016-17,Y,468,92.9,6,1.3,4.5,0.2,0,4.3,3.8,4.7,4.5,4.5,4.7,435,28,6,21,1,0,20,18,22,21,21,22,TACOMA SCHOOL DISTRICT,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K -5,Y,N,"3701 N 26TH ST
TACOMA
(47.271066, -122.486444)"
VALLEY VIEW ELEMENTARY,2016-17,Y,405,99,0,0,0,0,0,0,0,0,0,0,0,401,0,0,0,0,0,0,0,0,0,0,0,TOPPENISH SCHOOL DISTRICT,YAKIMA,EDUCATIONAL SERVICE DISTRICT 105,K -5,Y,N,"515 ZILLAH AVE
TOPPENISH
(46.382283, -120.301633)"
WHITTIER ELEMENTARY,2016-17,Y,493,93.3,4.3,0.6,3.7,0,0,3.2,3,3.4,3.9,3.9,3.7,460,21,3,18,0,0,16,15,17,19,19,18,EVERETT SCHOOL DISTRICT,SNOHOMISH,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,PK-5,Y,N,"916 OAKES AVE.
EVERETT
(48.004803, -122.203832)"
STEVENS ELEMENTARY SCHOOL,2016-17,Y,295,86.4,5.4,1.7,4.4,0,0,2,2,1.7,3.4,5.1,3.1,255,16,5,13,0,0,6,6,5,10,15,9,SEATTLE PUBLIC SCHOOLS,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K -5,Y,N,"1242 18 AV E
SEATTLE
(47.631298, -122.30858)"
STELLA SCHOLA,2016-17,Y,90,90,10,5.6,4.4,1.1,0,2.2,2.2,5.6,4.4,3.3,7.8,81,9,5,4,1,0,2,2,5,4,3,7,LAKE WASHINGTON SCHOOL DISTRICT,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,8-Jun,N,Y,"13505 NE 75TH STREET
REDMOND
(47.671674, -122.159808)"
YORK ELEMENTARY SCHOOL,2016-17,Y,541,86,8.7,0.7,6.8,0.6,0.9,8.3,8.5,7.8,7.9,6.8,8.1,465,47,4,37,3,5,45,46,42,43,37,44,EVERGREEN SCHOOL DISTRICT (CLARK),CLARK,EDUCATIONAL SERVICE DISTRICT 112,K -5,Y,N,"9301 NE 152ND AVENUE
VANCOUVER
(45.689555, -122.516396)"
WESTGATE ELEMENTARY SCHOOL,2016-17,Y,488,94.5,3.9,3.9,0,0,0,3.5,3.5,3.9,3.7,3.3,3.5,461,19,19,0,0,0,17,17,19,18,16,17,KENNEWICK SCHOOL DISTRICT,BENTON,EDUCATIONAL SERVICE DISTRICT 123,PK-5,Y,N,"2514 WEST 4TH AVENUE
KENNEWICK
(46.205848, -119.154759)"
THURGOOD MARSHALL ELEMENTARY,2016-17,Y,544,92.3,4,1.7,2.2,0,0.2,0.7,0.7,1.7,0.7,1.7,2.6,502,22,9,12,0,1,4,4,9,4,9,14,SEATTLE PUBLIC SCHOOLS,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,PK-5,Y,N,"2401 S IRVING ST
SEATTLE
(47.591214, -122.299512)"
